file,task,family,effort,sample,score,total,cost_usd,cost_estimated,duration_s,output_tokens,date,harness
t10_opus5_medium_canonical-m.json,T10,opus5,medium,canonical-m,7,7,0.1213,False,10.7,933,2026-07-24,claude-code-workflow
t10_opus5_xhigh_grid.json,T10,opus5,xhigh,grid,7,7,0.1337,False,14.6,1427,2026-07-25,claude-code-workflow
t10_sonnet_high_r3.json,T10,sonnet,high,r3,7,7,0.1177,False,23.3,2960,2026-07-23,claude-code-workflow
t10_sonnet_low_r3.json,T10,sonnet,low,r3,7,7,0.0889,False,8.4,1038,2026-07-23,claude-code-workflow
t10_sonnet_max_grid.json,T10,sonnet,max,grid,7,7,0.1679,False,193.6,6305,2026-07-25,claude-code-workflow
t10_sonnet_medium_grid.json,T10,sonnet,medium,grid,4,7,0.0983,False,156.2,1670,2026-07-25,claude-code-workflow
t10_sonnet_xhigh_grid.json,T10,sonnet,xhigh,grid,7,7,0.1494,False,154.8,5075,2026-07-25,claude-code-workflow
t1_fable_high_r3.json,T1,fable,high,r3,16,16,0.288,False,19.5,1855,2026-07-23,claude-code-workflow
t1_fable_low_r3.json,T1,fable,low,r3,16,16,0.2482,False,12.4,1060,2026-07-23,claude-code-workflow
t1_fable_max_grid.json,T1,fable,max,grid,16,16,0.431,False,40.8,4714,2026-07-25,claude-code-workflow
t1_fable_medium_grid.json,T1,fable,medium,grid,16,16,0.253,False,12.6,1154,2026-07-25,claude-code-workflow
t1_fable_xhigh_grid.json,T1,fable,xhigh,grid,16,16,0.3397,False,27.6,2888,2026-07-25,claude-code-workflow
t1_haiku_high_r3.json,T1,haiku,high,r3,15,16,0.0375,False,30.0,3971,2026-07-23,claude-code-workflow
t1_haiku_low_grid.json,T1,haiku,low,grid,16,16,0.1303,False,178.2,22537,2026-07-25,claude-code-workflow
t1_haiku_medium_selftest.json,T1,haiku,medium,selftest,16,16,0.049,False,65.7,8095,2026-07-25,claude-code
t1_opus48_high_r3.json,T1,opus48,high,r3,16,16,0.0977,True,23.8,2,2026-07-23,claude-code-workflow
t1_opus48_low_grid.json,T1,opus48,low,grid,16,16,0.1314,False,14.8,1348,2026-07-25,claude-code-workflow
t1_opus48_xhigh_grid.json,T1,opus48,xhigh,grid,16,16,0.1822,False,32.8,3378,2026-07-25,claude-code-workflow
t1_opus5_high_canonical.json,T1,opus5,high,canonical,16,16,0.0718,False,15.2,1365,2026-07-24,claude-code-workflow
t1_opus5_high_s1.json,T1,opus5,high,s1,16,16,,True,,,2026-07-24,claude-code-workflow
t1_opus5_high_s2.json,T1,opus5,high,s2,16,16,,True,,,2026-07-24,claude-code-workflow
t1_opus5_low_canonical.json,T1,opus5,low,canonical,16,16,0.1226,False,11.9,1007,2026-07-24,claude-code-workflow
t1_opus5_low_s1.json,T1,opus5,low,s1,16,16,,True,,,2026-07-24,claude-code-workflow
t1_opus5_low_s2.json,T1,opus5,low,s2,16,16,,True,,,2026-07-24,claude-code-workflow
t1_opus5_max_grid.json,T1,opus5,max,grid,16,16,0.1681,False,27.8,2825,2026-07-25,claude-code-workflow
t1_opus5_medium_canonical-m.json,T1,opus5,medium,canonical-m,16,16,0.0674,False,13.1,1187,2026-07-24,claude-code-workflow
t1_opus5_xhigh_esc.json,T1,opus5,xhigh,esc,16,16,0.0378,False,23.1,5,2026-07-24,claude-code-workflow
t1_opus5_xhigh_grid.json,T1,opus5,xhigh,grid,16,16,0.1471,False,21.1,1988,2026-07-25,claude-code-workflow
t1_sonnet_high_r3.json,T1,sonnet,high,r3,16,16,0.1057,False,17.5,2186,2026-07-23,claude-code-workflow
t1_sonnet_low_r3.json,T1,sonnet,low,r3,16,16,0.0911,False,11.3,1213,2026-07-23,claude-code-workflow
t1_sonnet_max_grid.json,T1,sonnet,max,grid,16,16,0.2137,False,80.0,9380,2026-07-25,claude-code-workflow
t1_sonnet_medium_grid.json,T1,sonnet,medium,grid,16,16,0.0959,False,154.0,1532,2026-07-25,claude-code-workflow
t1_sonnet_xhigh_grid.json,T1,sonnet,xhigh,grid,16,16,0.1201,False,22.8,3141,2026-07-25,claude-code-workflow
t1_sonnet_xhigh_r3.json,T1,sonnet,xhigh,r3,16,16,0.1505,False,37.9,5172,2026-07-23,claude-code-workflow
t2_fable_high_r3.json,T2,fable,high,r3,8,8,0.2718,False,16.7,1541,2026-07-23,claude-code-workflow
t2_fable_low_r3.json,T2,fable,low,r3,8,8,0.222,False,7.3,544,2026-07-23,claude-code-workflow
t2_fable_max_grid.json,T2,fable,max,grid,8,8,0.3461,False,30.2,3027,2026-07-25,claude-code-workflow
t2_fable_medium_grid.json,T2,fable,medium,grid,8,8,0.2319,False,8.9,743,2026-07-25,claude-code-workflow
t2_fable_xhigh_grid.json,T2,fable,xhigh,grid,8,8,0.3063,False,23.7,2229,2026-07-25,claude-code-workflow
t2_haiku_high_r3.json,T2,haiku,high,r3,6,8,0.0347,False,31.3,3424,2026-07-23,claude-code-workflow
t2_haiku_low_grid.json,T2,haiku,low,grid,7,8,0.0176,True,33.2,4,2026-07-25,claude-code-workflow
t2_haiku_medium_selftest.json,T2,haiku,medium,selftest,8,8,0.0495,False,74.7,8197,2026-07-25,claude-code
t2_opus48_high_r3.json,T2,opus48,high,r3,8,8,0.1354,False,16.6,1517,2026-07-23,claude-code-workflow
t2_opus48_low_grid.json,T2,opus48,low,grid,8,8,0.1219,False,12.0,979,2026-07-25,claude-code-workflow
t2_opus48_xhigh_grid.json,T2,opus48,xhigh,grid,8,8,0.1639,False,27.2,2657,2026-07-25,claude-code-workflow
t2_opus5_high_canonical.json,T2,opus5,high,canonical,8,8,0.1214,False,11.4,969,2026-07-24,claude-code-workflow
t2_opus5_high_s1.json,T2,opus5,high,s1,8,8,,True,,,2026-07-24,claude-code-workflow
t2_opus5_high_s2.json,T2,opus5,high,s2,8,8,,True,,,2026-07-24,claude-code-workflow
t2_opus5_low_canonical.json,T2,opus5,low,canonical,8,8,0.0973,True,9.2,4,2026-07-24,claude-code-workflow
t2_opus5_low_s1.json,T2,opus5,low,s1,7,8,,True,,,2026-07-24,claude-code-workflow
t2_opus5_low_s2.json,T2,opus5,low,s2,8,8,,True,,,2026-07-24,claude-code-workflow
t2_opus5_max_grid.json,T2,opus5,max,grid,8,8,0.1368,False,17.3,1586,2026-07-25,claude-code-workflow
t2_opus5_medium_canonical-m.json,T2,opus5,medium,canonical-m,8,8,0.1182,False,10.3,842,2026-07-24,claude-code-workflow
t2_opus5_xhigh_grid.json,T2,opus5,xhigh,grid,8,8,0.1309,False,14.6,1346,2026-07-25,claude-code-workflow
t2_sonnet_high_r3.json,T2,sonnet,high,r3,8,8,0.0985,False,13.3,1714,2026-07-23,claude-code-workflow
t2_sonnet_low_r3.json,T2,sonnet,low,r3,8,8,0.0915,False,12.2,1248,2026-07-23,claude-code-workflow
t2_sonnet_max_grid.json,T2,sonnet,max,grid,8,8,0.2309,False,94.0,10542,2026-07-25,claude-code-workflow
t2_sonnet_medium_grid.json,T2,sonnet,medium,grid,7,8,0.0881,False,9.2,1019,2026-07-25,claude-code-workflow
t2_sonnet_xhigh_grid.json,T2,sonnet,xhigh,grid,8,8,0.1071,False,169.7,2285,2026-07-25,claude-code-workflow
t3_fable_high_r3.json,T3,fable,high,r3,6,6,3.7014,False,525.2,60952,2026-07-23,claude-code-workflow
t3_fable_low_r3.json,T3,fable,low,r3,6,6,1.6964,False,179.3,20852,2026-07-23,claude-code-workflow
t3_fable_max_grid.json,T3,fable,max,grid,6,6,6.9343,False,1067.0,125609,2026-07-25,claude-code-workflow
t3_fable_medium_grid.json,T3,fable,medium,grid,6,6,1.8301,False,231.3,23525,2026-07-25,claude-code-workflow
t3_fable_xhigh_grid.json,T3,fable,xhigh,grid,6,6,4.5454,False,646.1,77830,2026-07-25,claude-code-workflow
t3_haiku_high_r3.json,T3,haiku,high,r3,3,6,0.1609,False,185.5,21349,2026-07-23,claude-code-workflow
t3_haiku_low_grid.json,T3,haiku,low,grid,4,6,0.191,False,221.4,24928,2026-07-25,claude-code-workflow
t3_haiku_medium_selftest.json,T3,haiku,medium,selftest,3,6,0.2885,False,388.0,46240,2026-07-25,claude-code
t3_opus48_high_r3.json,T3,opus48,high,r3,5,6,1.4431,False,412.7,44645,2026-07-23,claude-code-workflow
t3_opus48_low_grid.json,T3,opus48,low,grid,5,6,0.5714,False,108.4,9779,2026-07-25,claude-code-workflow
t3_opus48_xhigh_grid.json,T3,opus48,xhigh,grid,6,6,0.3271,True,663.8,5,2026-07-25,claude-code-workflow
t3_opus5_high_probe.json,T3,opus5,high,probe,6,6,1.4903,False,390.7,44146,2026-07-24,claude-code-workflow
t3_opus5_low_canonical.json,T3,opus5,low,canonical,5,6,0.9204,False,195.9,21348,2026-07-24,claude-code-workflow
t3_opus5_low_s1.json,T3,opus5,low,s1,6,6,,True,,,2026-07-24,claude-code-workflow
t3_opus5_low_s2.json,T3,opus5,low,s2,6,6,,True,,,2026-07-24,claude-code-workflow
t3_opus5_max_grid.json,T3,opus5,max,grid,6,6,2.59,False,728.8,90523,2026-07-25,claude-code-workflow
t3_opus5_medium_canonical-m.json,T3,opus5,medium,canonical-m,6,6,1.1031,False,250.5,28656,2026-07-24,claude-code-workflow
t3_opus5_medium_canonical.json,T3,opus5,medium,canonical,6,6,1.1108,False,266.5,28963,2026-07-24,claude-code-workflow
t3_opus5_medium_esc.json,T3,opus5,medium,esc,6,6,0.3867,False,248.5,2,2026-07-24,claude-code-workflow
t3_opus5_xhigh_canonical.json,T3,opus5,xhigh,canonical,6,6,3.4553,False,892.7,107257,2026-07-24,claude-code-workflow
t3_opus5_xhigh_grid.json,T3,opus5,xhigh,grid,6,6,2.4469,False,687.1,84798,2026-07-25,claude-code-workflow
t3_sonnet_high_r3.json,T3,sonnet,high,r3,5,6,3.4937,False,1310.5,186841,2026-07-23,claude-code-workflow
t3_sonnet_low_r3.json,T3,sonnet,low,r3,5,6,0.4026,False,106.1,13681,2026-07-23,claude-code-workflow
t3_sonnet_medium_grid.json,T3,sonnet,medium,grid,5,6,0.8994,False,413.6,58644,2026-07-25,claude-code-workflow
t3_sonnet_xhigh_grid.json,T3,sonnet,xhigh,grid,6,6,4.6007,False,1742.0,256000,2026-07-25,claude-code-workflow
t4_fable_high_r3.json,T4,fable,high,r3,10,10,0.4688,False,58.4,5522,2026-07-23,claude-code-workflow
t4_fable_low_r3.json,T4,fable,low,r3,10,10,0.1929,True,27.9,3,2026-07-23,claude-code-workflow
t4_fable_max_grid.json,T4,fable,max,grid,10,10,0.693,False,106.3,10004,2026-07-25,claude-code-workflow
t4_fable_medium_grid.json,T4,fable,medium,grid,9,10,0.3366,False,38.3,2877,2026-07-25,claude-code-workflow
t4_fable_xhigh_grid.json,T4,fable,xhigh,grid,10,10,0.4607,False,57.8,5358,2026-07-25,claude-code-workflow
t4_haiku_high_r3.json,T4,haiku,high,r3,9,10,0.0699,False,85.3,10494,2026-07-23,claude-code-workflow
t4_haiku_low_grid.json,T4,haiku,low,grid,8,10,0.1011,False,135.3,16735,2026-07-25,claude-code-workflow
t4_haiku_medium_selftest.json,T4,haiku,medium,selftest,8,10,0.1227,False,176.0,22861,2026-07-25,claude-code
t4_opus48_high_r3.json,T4,opus48,high,r3,10,10,0.2789,False,80.9,7300,2026-07-23,claude-code-workflow
t4_opus48_low_grid.json,T4,opus48,low,grid,10,10,0.1779,False,38.9,3259,2026-07-25,claude-code-workflow
t4_opus48_xhigh_grid.json,T4,opus48,xhigh,grid,10,10,0.3888,False,128.2,11691,2026-07-25,claude-code-workflow
t4_opus48_xhigh_r3.json,T4,opus48,xhigh,r3,10,10,0.0966,True,130.8,5,2026-07-23,claude-code-workflow
t4_opus5_high_canonical.json,T4,opus5,high,canonical,10,10,0.2126,False,48.5,4657,2026-07-24,claude-code-workflow
t4_opus5_high_s1.json,T4,opus5,high,s1,10,10,,True,,,2026-07-24,claude-code-workflow
t4_opus5_high_s2.json,T4,opus5,high,s2,10,10,,True,,,2026-07-24,claude-code-workflow
t4_opus5_low_canonical.json,T4,opus5,low,canonical,9,10,0.1589,False,30.6,2508,2026-07-24,claude-code-workflow
t4_opus5_low_s1.json,T4,opus5,low,s1,10,10,,True,,,2026-07-24,claude-code-workflow
t4_opus5_low_s2.json,T4,opus5,low,s2,9,10,,True,,,2026-07-24,claude-code-workflow
t4_opus5_max_esc.json,T4,opus5,max,esc,9,10,0.2349,False,56.0,5550,2026-07-24,claude-code-workflow
t4_opus5_max_grid.json,T4,opus5,max,grid,10,10,0.3224,False,94.7,9048,2026-07-25,claude-code-workflow
t4_opus5_medium_canonical-m.json,T4,opus5,medium,canonical-m,10,10,0.1806,False,38.5,3375,2026-07-24,claude-code-workflow
t4_opus5_xhigh_grid.json,T4,opus5,xhigh,grid,10,10,0.2462,False,65.4,6001,2026-07-25,claude-code-workflow
t4_sonnet_high_r3.json,T4,sonnet,high,r3,10,10,0.2653,False,109.8,12870,2026-07-23,claude-code-workflow
t4_sonnet_low_r3.json,T4,sonnet,low,r3,10,10,0.177,False,60.6,6987,2026-07-23,claude-code-workflow
t4_sonnet_max_grid.json,T4,sonnet,max,grid,10,10,0.5687,False,276.9,33099,2026-07-25,claude-code-workflow
t4_sonnet_max_r3.json,T4,sonnet,max,r3,10,10,0.5046,False,237.9,28825,2026-07-23,claude-code-workflow
t4_sonnet_medium_grid.json,T4,sonnet,medium,grid,10,10,0.2881,False,267.2,14393,2026-07-25,claude-code-workflow
t4_sonnet_xhigh_grid.json,T4,sonnet,xhigh,grid,10,10,0.4251,False,195.7,23525,2026-07-25,claude-code-workflow
t5a_fable_high_r3.json,T5A,fable,high,r3,3,3,0.7644,False,109.0,11174,2026-07-23,claude-code-workflow
t5a_fable_low_r3.json,T5A,fable,low,r3,3,3,0.5554,False,76.0,6994,2026-07-23,claude-code-workflow
t5a_fable_max_grid.json,T5A,fable,max,grid,3,3,0.2061,True,142.8,7,2026-07-25,claude-code-workflow
t5a_fable_medium_grid.json,T5A,fable,medium,grid,3,3,0.6078,False,85.0,8040,2026-07-25,claude-code-workflow
t5a_fable_xhigh_grid.json,T5A,fable,xhigh,grid,3,3,0.7685,False,108.6,11253,2026-07-25,claude-code-workflow
t5a_fable_xhigh_r3.json,T5A,fable,xhigh,r3,3,3,1.1562,False,184.2,19009,2026-07-23,claude-code-workflow
t5a_haiku_high_r3.json,T5A,haiku,high,r3,3,3,0.147,False,233.0,25725,2026-07-23,claude-code-workflow
t5a_haiku_low_grid.json,T5A,haiku,low,grid,3,3,0.2002,False,319.9,36362,2026-07-25,claude-code-workflow
t5a_haiku_medium_selftest.json,T5A,haiku,medium,selftest,1,3,0.0916,False,450.9,15971,2026-07-25,claude-code
t5a_opus48_high_r3.json,T5A,opus48,high,r3,3,3,0.4154,False,133.6,12498,2026-07-23,claude-code-workflow
t5a_opus48_low_grid.json,T5A,opus48,low,grid,3,3,0.5677,False,207.3,18590,2026-07-25,claude-code-workflow
t5a_opus48_xhigh_grid.json,T5A,opus48,xhigh,grid,3,3,0.7121,False,271.0,24363,2026-07-25,claude-code-workflow
t5a_opus5_high_canonical.json,T5A,opus5,high,canonical,3,3,0.4521,False,138.9,13978,2026-07-24,claude-code-workflow
t5a_opus5_high_s1.json,T5A,opus5,high,s1,3,3,,True,,,2026-07-24,claude-code-workflow
t5a_opus5_high_s2.json,T5A,opus5,high,s2,3,3,,True,,,2026-07-24,claude-code-workflow
t5a_opus5_low_canonical.json,T5A,opus5,low,canonical,2,3,0.2708,False,71.4,6723,2026-07-24,claude-code-workflow
t5a_opus5_low_s1.json,T5A,opus5,low,s1,3,3,,True,,,2026-07-24,claude-code-workflow
t5a_opus5_low_s2.json,T5A,opus5,low,s2,3,3,,True,,,2026-07-24,claude-code-workflow
t5a_opus5_max_grid.json,T5A,opus5,max,grid,3,3,0.2763,False,69.6,6945,2026-07-25,claude-code-workflow
t5a_opus5_medium_canonical-m.json,T5A,opus5,medium,canonical-m,3,3,0.3147,False,84.9,8482,2026-07-24,claude-code-workflow
t5a_opus5_xhigh_grid.json,T5A,opus5,xhigh,grid,3,3,0.2988,False,77.3,7499,2026-07-25,claude-code-workflow
t5a_sonnet_high_r3.json,T5A,sonnet,high,r3,3,3,0.3724,False,162.9,19756,2026-07-23,claude-code-workflow
t5a_sonnet_low_r3.json,T5A,sonnet,low,r3,3,3,0.4289,False,198.6,23517,2026-07-23,claude-code-workflow
t5a_sonnet_max_grid.json,T5A,sonnet,max,grid,3,3,0.4295,False,232.5,28228,2026-07-25,claude-code-workflow
t5a_sonnet_medium_grid.json,T5A,sonnet,medium,grid,3,3,0.2763,False,109.4,13344,2026-07-25,claude-code-workflow
t5a_sonnet_xhigh_grid.json,T5A,sonnet,xhigh,grid,3,3,0.3987,False,180.2,21504,2026-07-25,claude-code-workflow
t5b_fable_high_r2.json,T5B,fable,high,r2,5,6,,True,,,2026-07-23,claude-code-workflow
t5b_fable_high_r3-r1.json,T5B,fable,high,r3-r1,6,6,0.9641,False,152.3,15021,2026-07-23,claude-code-workflow
t5b_fable_high_r3-r2.json,T5B,fable,high,r3-r2,6,6,0.9964,False,153.5,15668,2026-07-23,claude-code-workflow
t5b_fable_high_r3-r3.json,T5B,fable,high,r3-r3,5,6,0.941,False,147.3,14559,2026-07-23,claude-code-workflow
t5b_fable_xhigh_r3-r1.json,T5B,fable,xhigh,r3-r1,6,6,1.1206,False,172.2,18150,2026-07-23,claude-code-workflow
t5b_haiku_high_r2.json,T5B,haiku,high,r2,2,6,,True,,,2026-07-23,claude-code-workflow
t5b_haiku_medium_selftest.json,T5B,haiku,medium,selftest,6,6,0.0,False,629.2,0,2026-07-25,claude-code
t5b_opus48_high_r2.json,T5B,opus48,high,r2,6,6,,True,,,2026-07-23,claude-code-workflow
t5b_opus48_high_r3-r1.json,T5B,opus48,high,r3-r1,6,6,0.6901,False,244.2,23341,2026-07-23,claude-code-workflow
t5b_opus48_high_r3-r2.json,T5B,opus48,high,r3-r2,6,6,0.7252,False,265.8,24745,2026-07-23,claude-code-workflow
t5b_opus5_high_canonical-c1.json,T5B,opus5,high,canonical-c1,6,6,0.3757,False,132.9,13205,2026-07-24,claude-code-workflow
t5b_opus5_high_canonical-c2.json,T5B,opus5,high,canonical-c2,6,6,0.4461,False,131.9,13592,2026-07-24,claude-code-workflow
t5b_opus5_high_s1-o5r1.json,T5B,opus5,high,s1-o5r1,6,6,,True,,,2026-07-24,claude-code-workflow
t5b_opus5_high_s1-o5r2.json,T5B,opus5,high,s1-o5r2,6,6,,True,,,2026-07-24,claude-code-workflow
t5b_opus5_high_s2-o5r1.json,T5B,opus5,high,s2-o5r1,6,6,,True,,,2026-07-24,claude-code-workflow
t5b_opus5_high_s2-o5r2.json,T5B,opus5,high,s2-o5r2,6,6,,True,,,2026-07-24,claude-code-workflow
t5b_opus5_medium_canonical-m1.json,T5B,opus5,medium,canonical-m1,6,6,0.4642,False,141.5,14315,2026-07-24,claude-code-workflow
t5b_opus5_xhigh_esc-o5x1.json,T5B,opus5,xhigh,esc-o5x1,6,6,0.1065,False,160.2,5,2026-07-24,claude-code-workflow
t5b_sonnet_high_r2.json,T5B,sonnet,high,r2,6,6,,True,,,2026-07-23,claude-code-workflow
t5b_sonnet_low_r2.json,T5B,sonnet,low,r2,6,6,,True,,,2026-07-23,claude-code-workflow
t5b_sonnet_low_r3-r1.json,T5B,sonnet,low,r3-r1,6,6,0.4072,False,185.1,21925,2026-07-23,claude-code-workflow
t5b_sonnet_low_r3-r2.json,T5B,sonnet,low,r3-r2,6,6,0.3558,False,190.1,21815,2026-07-23,claude-code-workflow
t5b_sonnet_xhigh_r2.json,T5B,sonnet,xhigh,r2,6,6,,True,,,2026-07-23,claude-code-workflow
t6_fable_high_r3.json,T6,fable,high,r3,13,13,0.3251,False,21.5,2361,2026-07-23,claude-code-workflow
t6_fable_low_r3.json,T6,fable,low,r3,13,13,0.2673,False,13.6,1205,2026-07-23,claude-code-workflow
t6_fable_max_grid.json,T6,fable,max,grid,13,13,0.2073,True,52.2,5,2026-07-25,claude-code-workflow
t6_fable_medium_grid.json,T6,fable,medium,grid,13,13,0.2937,False,17.3,1732,2026-07-25,claude-code-workflow
t6_fable_xhigh_grid.json,T6,fable,xhigh,grid,13,13,0.3611,False,29.0,3079,2026-07-25,claude-code-workflow
t6_haiku_high_r3.json,T6,haiku,high,r3,13,13,0.0655,False,73.8,9377,2026-07-23,claude-code-workflow
t6_haiku_low_grid.json,T6,haiku,low,grid,13,13,0.0796,False,96.5,12204,2026-07-25,claude-code-workflow
t6_haiku_medium_selftest.json,T6,haiku,medium,selftest,11,13,0.0554,False,55.4,9165,2026-07-25,claude-code
t6_opus48_high_r3.json,T6,opus48,high,r3,13,13,0.1994,False,35.4,3831,2026-07-23,claude-code-workflow
t6_opus48_low_grid.json,T6,opus48,low,grid,13,13,0.1655,False,23.9,2475,2026-07-25,claude-code-workflow
t6_opus48_xhigh_grid.json,T6,opus48,xhigh,grid,13,13,0.2931,False,69.8,7580,2026-07-25,claude-code-workflow
t6_opus5_high_canonical.json,T6,opus5,high,canonical,13,13,0.1488,False,17.6,1818,2026-07-24,claude-code-workflow
t6_opus5_high_s1.json,T6,opus5,high,s1,13,13,,True,,,2026-07-24,claude-code-workflow
t6_opus5_high_s2.json,T6,opus5,high,s2,13,13,,True,,,2026-07-24,claude-code-workflow
t6_opus5_low_canonical.json,T6,opus5,low,canonical,13,13,0.132,False,12.4,1146,2026-07-24,claude-code-workflow
t6_opus5_low_s1.json,T6,opus5,low,s1,12,13,,True,,,2026-07-24,claude-code-workflow
t6_opus5_low_s2.json,T6,opus5,low,s2,12,13,,True,,,2026-07-24,claude-code-workflow
t6_opus5_max_grid.json,T6,opus5,max,grid,13,13,0.1801,False,29.1,3072,2026-07-25,claude-code-workflow
t6_opus5_medium_canonical-m.json,T6,opus5,medium,canonical-m,13,13,0.1035,True,17.8,5,2026-07-24,claude-code-workflow
t6_opus5_xhigh_grid.json,T6,opus5,xhigh,grid,13,13,0.1759,False,26.8,2903,2026-07-25,claude-code-workflow
t6_sonnet_high_r3.json,T6,sonnet,high,r3,13,13,0.1414,False,31.1,4324,2026-07-23,claude-code-workflow
t6_sonnet_low_r3.json,T6,sonnet,low,r3,13,13,0.0766,True,18.8,5,2026-07-23,claude-code-workflow
t6_sonnet_max_grid.json,T6,sonnet,max,grid,13,13,0.3087,False,108.3,15481,2026-07-25,claude-code-workflow
t6_sonnet_medium_grid.json,T6,sonnet,medium,grid,13,13,0.1294,False,25.3,3528,2026-07-25,claude-code-workflow
t6_sonnet_xhigh_grid.json,T6,sonnet,xhigh,grid,13,13,0.1856,False,158.2,7273,2026-07-25,claude-code-workflow
t7_fable_high_r3.json,T7,fable,high,r3,20,20,0.2208,False,6.8,548,2026-07-23,claude-code-workflow
t7_fable_low_r3.json,T7,fable,low,r3,20,20,0.2116,False,4.7,363,2026-07-23,claude-code-workflow
t7_fable_max_grid.json,T7,fable,max,grid,20,20,0.1182,False,9.7,892,2026-07-25,claude-code-workflow
t7_fable_medium_grid.json,T7,fable,medium,grid,20,20,0.0918,False,8.0,364,2026-07-25,claude-code-workflow
t7_fable_xhigh_grid.json,T7,fable,xhigh,grid,20,20,0.1023,False,7.7,573,2026-07-25,claude-code-workflow
t7_haiku_high_r3.json,T7,haiku,high,r3,20,20,0.0223,False,8.5,978,2026-07-23,claude-code-workflow
t7_haiku_low_grid.json,T7,haiku,low,grid,20,20,0.0211,False,6.4,733,2026-07-25,claude-code-workflow
t7_haiku_medium_selftest.json,T7,haiku,medium,selftest,20,20,0.0119,False,4.3,684,2026-07-25,claude-code
t7_opus48_high_r3.json,T7,opus48,high,r3,20,20,0.1121,False,7.6,611,2026-07-23,claude-code-workflow
t7_opus48_low_grid.json,T7,opus48,low,grid,20,20,0.0493,False,5.9,501,2026-07-25,claude-code-workflow
